pref_schedule,kode,nama,sks,prasyarat,min_sks,tipe_mk,open_in,scheduled
1,MPK4101,Pendidikan Pancasila,2,,,umum,ganjil,1
1,STKOM41204,Bahasa Inggris,2,,,umum,ganjil,1
1,STKOM41206,Logika Matematika,2,,,wajib,ganjil,1
1,STKOM41305,Aljabar Linear dan Matriks,3,,,wajib,ganjil,1
1,STKOM41308,Organisasi dan Asitektur Komputer,3,,,wajib,ganjil,1
1,STKOM41309,Kalkulus,3,,,wajib,ganjil,1
1,STKOM41407,Algoritma dan Pemrogaman I,4,,,wajib,ganjil,1
2,MPK4201,Pendidikan Agama,2,,,umum,genap,1
2,MPK4203,Pendidikan Kewarganegaraan,2,,,umum,genap,1
2,STKOM42204,Etika Profesi,2,,,wajib,genap,1
2,STKOM42205,Interaksi Manusia dan Komputer,2,,,wajib,genap,1
2,STKOM42303,Kecerdasan Buatan,3,,,wajib,genap,1
2,STKOM42306,Statistika,3,,,wajib,genap,1
2,STKOM42307,Matematika Diskrit,3,,,wajib,genap,1
2,STKOM42408,Algoritma dan Pemrogaman II,4,,,wajib,genap,1
2,MKP1221,"Budaya Lahan Kering, Kepulauan dan Pariwisata",2,,,umum,genap,1
3,STKOM43302,Riset Operasi,3,,,wajib,ganjil,1
3,STKOM43303,Metode Numerik ,3,STKOM41305- STKOM41407- STKOM41309,,wajib,ganjil,1
3,STKOM43309,Sistem Informasi,3,,,wajib,ganjil,1
3,STKOM43401,Sistem Operasi,4,,,wajib,ganjil,1
3,STKOM43404,Basis Data,4,,,wajib,ganjil,1
3,STKOM43406,Struktur Data,4,STKOM41407- STKOM42408,,wajib,ganjil,1
4,MPK4402,Bahasa Indonesia,2,,,umum,genap,1
4,STKOM44301,Grafika Komputer,3,STKOM41305- STKOM41303,,wajib,genap,1
4,STKOM44304,Rekayasa Perangkat Lunak,3,STKOM43404- STKOM43309,,wajib,genap,1
4,STKOM44307,Teori Bahasa dan Automata,3,STKOM42307- STKOM41206,,wajib,genap,1
4,STKOM44308,Jaringan Syaraf Tiruan,3,,30,wajib,genap,1
4,STKOM44403,Jaringan Komputer dan Komunikasi Data,4,,30,wajib,genap,1
4,STKOM44405,Pemrogaman Berorientasi Obyek,4,STKOM42408- STKOM41407,,wajib,genap,1
5,STKOM45201,Manajemen Proyek,2,,,wajib,ganjil,1
5,STKOM45302,Data Warehouse,3,STKOM43404,,wajib,ganjil,1
5,STKOM45303,Analisis Algoritma,3,STKOM42307- STKOM42408- STKOM41407,,wajib,ganjil,1
5,STKOM45306,Logika Fuzzy,3,STKOM41206,,wajib,ganjil,1
5,STKOM45307,Web Programming,3,STKOM41407- STKOM42408,,wajib,ganjil,1
6,MKP1621,Pendidikan Anti Korupsi,1,,,umum,genap,1
6,MPK4603,Kuliah Kerja Nyata,4,,100,umum,all,0
6,STKOM46302,Proyek Sistem Informasi Manajemen,3,STKOM44304- STKOM43404- STKOM43309,,wajib,genap,1
6,STKOM46305,Sistem Pendukung Keputusan,3,,40,wajib,genap,1
6,STKOM46306,Pengolahan Citra Digital,3,STKOM41305,,wajib,genap,1
7,STKOM47201,Metodologi Penelitian,2,,70,wajib,ganjil,1
7,STKOM47303,Kerja Praktek,3,,70,wajib,ganjil,0
7,STKOM47304,E-Bussiness/Tourism,3,STKOM43404- STKOM45307,,wajib,ganjil,1
8,STKOM48601,Tugas Akhir,6,,100,wajib,all,0
,STKOM45311,Kriptografi,3,STKOM42307,,pilihan,all,1
,STKOM45312,Teknik Kompilasi,3,STKOM44307,,pilihan,all,1
,STKOM45313,Basis Data Lanjutan,3,STKOM42307- STKOM43404- STKOM44301,,pilihan,all,1
,STKOM46311,Sistem Informasi Geografis,3,STKOM43309,,pilihan,all,1
,STKOM46312,Sistem Pakar,3,STKOM42303,,pilihan,all,1
,STKOM46313,Wavelet,3,STKOM41305,,pilihan,all,1
,STKOM46314,Data Mining,3,STKOM44308- STKOM42303,,pilihan,all,1
,STKOM46315,Keamanan Jaringan,3,STKOM43401- STKOM44403,,pilihan,all,1
,STKOM46316,Multimedia ,3,,40,pilihan,all,1
,STKOM47311,Algoritma Genetik,3,STKOM42303,,pilihan,all,1
,STKOM47312,Neuro Fuzzy,3,STKOM44308- STKOM45306,,pilihan,all,1
,STKOM47313,Penalaran Berbasis Kasus,3,STKOM42303,,pilihan,all,1
,STKOM47314,Pengenalan Pola,3,STKOM44301- STKOM46306,,pilihan,all,1
,STKOM47315,Semantik WEB,3,STKOM45307,,pilihan,all,1
,STKOM47316,Mobile Computing,3,,40,pilihan,all,1
,STKOM47317,Swarm Inteligent,3,STKOM42303,,pilihan,all,1
,STKOM47318,Inteligent Agent,3,STKOM42030,,pilihan,all,1
